#X,S001->FM_Force(abs)
#Angle(degrees),Force(N)_Real
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.13,0.13
0.25,0.26
0.38,0.39
0.50,0.52
0.63,0.65
0.75,0.79
0.88,0.92
1.00,1.05
1.13,1.18
1.25,1.31
1.38,1.44
1.50,1.57
1.63,1.70
1.75,1.83
1.88,1.96
2.00,2.09
2.13,2.22
2.25,2.35
2.38,2.49
2.50,2.62
2.63,2.75
2.75,2.88
2.88,3.01
3.00,3.14
3.13,3.27
3.25,3.40
3.38,3.53
3.50,3.66
3.63,3.79
3.75,3.92
3.88,4.05
4.00,4.18
4.13,4.31
4.25,4.44
4.38,4.57
4.50,4.71
4.63,4.84
4.75,4.97
4.88,5.10
5.00,5.23
5.13,5.36
5.25,5.49
5.38,5.62
5.50,5.75
5.63,5.88
5.75,6.01
5.88,6.14
6.00,6.27
6.13,6.40
6.25,6.53
6.38,6.66
6.50,6.79
6.63,6.92
6.75,7.05
6.88,7.18
7.00,7.31
7.13,7.44
7.25,7.57
7.38,7.70
7.50,7.83
7.63,7.96
7.75,8.09
7.88,8.22
8.00,8.35
8.13,8.48
8.25,8.61
8.38,8.74
8.50,8.86
8.63,8.99
8.75,9.12
8.88,9.25
9.00,9.38
9.13,9.51
9.25,9.64
9.38,9.77
9.50,9.90
9.63,10.03
9.75,10.16
9.88,10.29
10.00,10.41
10.13,10.54
10.25,10.67
10.38,10.80
10.50,10.93
10.63,11.06
10.75,11.19
10.88,11.32
11.00,11.44
11.13,11.57
11.25,11.70
11.38,11.83
11.50,11.96
11.63,12.09
11.75,12.21
11.88,12.34
12.00,12.47
12.13,12.60
12.25,12.73
12.38,12.85
12.50,12.98
12.63,13.11
12.75,13.24
12.88,13.36
13.00,13.49
13.13,13.62
13.25,13.75
13.38,13.87
13.50,14.00
13.63,14.13
13.75,14.26
13.88,14.38
14.00,14.51
14.13,14.64
14.25,14.76
14.38,14.89
14.50,15.02
14.63,15.14
14.75,15.27
14.88,15.40
15.00,15.52
15.13,15.65
15.25,15.78
15.38,15.90
15.50,16.03
15.63,16.15
15.75,16.28
15.88,16.41
16.00,16.53
16.13,16.66
16.25,16.78
16.38,16.91
16.50,17.04
16.63,17.16
16.75,17.29
16.88,17.41
17.00,17.54
17.13,17.66
17.25,17.79
17.38,17.91
17.50,18.04
17.63,18.16
17.75,18.29
17.88,18.41
18.00,18.54
18.13,18.66
18.25,18.78
18.38,18.91
18.50,19.03
18.63,19.16
18.75,19.28
18.88,19.40
19.00,19.53
19.13,19.65
19.25,19.78
19.38,19.90
19.50,20.02
19.63,20.15
19.75,20.27
19.88,20.39
20.00,20.51
20.13,20.64
20.25,20.76
20.38,20.88
20.50,21.01
20.63,21.13
20.75,21.25
20.88,21.37
21.00,21.50
21.13,21.62
21.25,21.74
21.38,21.86
21.50,21.98
21.63,22.11
21.75,22.23
21.88,22.35
22.00,22.47
22.13,22.59
22.25,22.71
22.38,22.83
22.50,22.95
22.63,23.08
22.75,23.20
22.88,23.32
23.00,23.44
23.13,23.56
23.25,23.68
23.38,23.80
23.50,23.92
23.63,24.04
23.75,24.16
23.88,24.28
24.00,24.40
24.13,24.52
24.25,24.64
24.38,24.76
24.50,24.87
24.63,24.99
24.75,25.11
24.88,25.23
25.00,25.35
25.13,25.47
25.25,25.59
25.38,25.71
25.50,25.82
25.63,25.94
25.75,26.06
25.88,26.18
26.00,26.30
26.13,26.41
26.25,26.53
26.38,26.65
26.50,26.76
26.63,26.88
26.75,27.00
26.88,27.12
27.00,27.23
27.13,27.35
27.25,27.47
27.38,27.58
27.50,27.70
27.63,27.81
27.75,27.93
27.88,28.05
28.00,28.16
28.13,28.28
28.25,28.39
28.38,28.51
28.50,28.62
28.63,28.74
28.75,28.85
28.88,28.97
29.00,29.08
29.13,29.20
29.25,29.31
29.38,29.42
29.50,29.54
29.63,29.65
29.75,29.77
29.88,29.88
30.00,29.99
30.13,30.11
30.25,30.22
30.38,30.33
30.50,30.44
30.63,30.56
30.75,30.67
30.88,30.78
31.00,30.89
31.13,31.01
31.25,31.12
31.38,31.23
31.50,31.34
31.63,31.45
31.75,31.56
31.88,31.68
32.00,31.79
32.13,31.90
32.25,32.01
32.38,32.12
32.50,32.23
32.63,32.34
32.75,32.45
32.88,32.56
33.00,32.67
33.13,32.78
33.25,32.89
33.38,33.00
33.50,33.11
33.63,33.22
33.75,33.33
33.88,33.43
34.00,33.54
34.13,33.65
34.25,33.76
34.38,33.87
34.50,33.98
34.63,34.08
34.75,34.19
34.88,34.30
35.00,34.41
35.13,34.51
35.25,34.62
35.38,34.73
35.50,34.83
35.63,34.94
35.75,35.05
35.88,35.15
36.00,35.26
36.13,35.36
36.25,35.47
36.38,35.58
36.50,35.68
36.63,35.79
36.75,35.89
36.88,36.00
37.00,36.10
37.13,36.20
37.25,36.31
37.38,36.41
37.50,36.52
37.63,36.62
37.75,36.72
37.88,36.83
38.00,36.93
38.13,37.03
38.25,37.14
38.38,37.24
38.50,37.34
38.63,37.44
38.75,37.55
38.88,37.65
39.00,37.75
39.13,37.85
39.25,37.95
39.38,38.06
39.50,38.16
39.63,38.26
39.75,38.36
39.88,38.46
40.00,38.56
40.13,38.66
40.25,38.76
40.38,38.86
40.50,38.96
40.63,39.06
40.75,39.16
40.88,39.26
41.00,39.35
41.13,39.45
41.25,39.55
41.38,39.65
41.50,39.75
41.63,39.85
41.75,39.94
41.88,40.04
42.00,40.14
42.13,40.24
42.25,40.33
42.38,40.43
42.50,40.53
42.63,40.62
42.75,40.72
42.88,40.82
43.00,40.91
43.13,41.01
43.25,41.10
43.38,41.20
43.50,41.29
43.63,41.39
43.75,41.48
43.88,41.58
44.00,41.67
44.13,41.76
44.25,41.86
44.38,41.95
44.50,42.05
44.63,42.14
44.75,42.23
44.88,42.32
45.00,42.42
45.13,42.51
45.25,42.60
45.38,42.69
45.50,42.79
45.63,42.88
45.75,42.97
45.88,43.06
46.00,43.15
46.13,43.24
46.25,43.33
46.38,43.42
46.50,43.51
46.63,43.60
46.75,43.69
46.88,43.78
47.00,43.87
47.13,43.96
47.25,44.05
47.38,44.14
47.50,44.23
47.63,44.32
47.75,44.40
47.88,44.49
48.00,44.58
48.13,44.67
48.25,44.75
48.38,44.84
48.50,44.93
48.63,45.01
48.75,45.10
48.88,45.19
49.00,45.27
49.13,45.36
49.25,45.44
49.38,45.53
49.50,45.62
49.63,45.70
49.75,45.78
49.88,45.87
50.00,45.95
50.13,46.04
50.25,46.12
50.38,46.20
50.50,46.29
50.63,46.37
50.75,46.45
50.88,46.54
51.00,46.62
51.13,46.70
51.25,46.78
51.38,46.87
51.50,46.95
51.63,47.03
51.75,47.11
51.88,47.19
52.00,47.27
52.13,47.35
52.25,47.43
52.38,47.51
52.50,47.59
52.63,47.67
52.75,47.75
52.88,47.83
53.00,47.91
53.13,47.99
53.25,48.07
53.38,48.14
53.50,48.22
53.63,48.30
53.75,48.38
53.88,48.45
54.00,48.53
54.13,48.61
54.25,48.68
54.38,48.76
54.50,48.84
54.63,48.91
54.75,48.99
54.88,49.06
55.00,49.14
55.13,49.21
55.25,49.29
55.38,49.36
55.50,49.44
55.63,49.51
55.75,49.59
55.88,49.66
56.00,49.73
56.13,49.81
56.25,49.88
56.38,49.95
56.50,50.02
56.63,50.10
56.75,50.17
56.88,50.24
57.00,50.31
57.13,50.38
57.25,50.45
57.38,50.52
57.50,50.59
57.63,50.66
57.75,50.73
57.88,50.80
58.00,50.87
58.13,50.94
58.25,51.01
58.38,51.08
58.50,51.15
58.63,51.22
58.75,51.28
58.88,51.35
59.00,51.42
59.13,51.49
59.25,51.55
59.38,51.62
59.50,51.69
59.63,51.75
59.75,51.82
59.88,51.89
60.00,51.95
60.00,51.95
60.00,51.95
60.00,51.95
60.00,51.95
60.00,51.95
60.00,51.95
60.00,51.95
60.00,51.95
60.00,51.95
60.00,51.95


